,Question_Text,Question_ID,Euroskepticism_Score,clean_text,doc2vec_x,doc2vec_y
0,High-voltage power lines 380 kV have been erected in the area of Setteville Nord in the municipality of Guidonia Montecelio. There are particular reports of a power line which runs too close to residential buildings. In some places the power cable runs at a height of 20 metres above ground level passing above the parking spaces alongside the dwellings. In addition given that the dwellings have been built in an upwardly sprawling manner the result has been a gradual reduction in the distances between the cable and the walls of the houses. This issue is therefore causing great alarm among the areas inhabitants particularly as  with the rules governing protection from exposure to electromagnetic fields. Given that the priority of the European Union is to safeguard the health of its citizens can the Commission 1. State whether it is aware of the situation 2. Indicate whether this situation is in breach of the European provisions regarding exposure to electromagnetic fields in particular  1999/519/EC Directive 1999/5/EC and Directive 2006/95/EC 3. Illustrate what actions can be put in place to prevent any potential immediate or long-term biological damage as a result of exposure to electromagnetic fields 4. Provide a general framework at European level of the current applicable legislation regarding protection from exposure to electromagnetic fields,E-002811-14,0,Highvoltage power line kV have been erected in the area of Setteville Nord in the municipality of Guidonia Montecelio There are particular report of a power line which run too close to residential building In some place the power cable run at a height of metre above ground level passing above the parking space alongside the dwelling In addition given that the dwelling have been built in an upwardly sprawling manner the result ha been a gradual reduction in the distance between the cable and the wall of the house This issue is therefore causing great alarm among the area inhabitant particularly a with the rule governing protection from exposure to electromagnetic field Given that the priority of the European Union is to safeguard the health of it citizen can the Commission State whether it is aware of the situation Indicate whether this situation is in breach of the European provision regarding exposure to electromagnetic field in particular EC Directive EC and Directive EC Illustrate what action can be put in place to prevent any potential immediate or longterm biological damage a a result of exposure to electromagnetic field Provide a general framework at European level of the current applicable legislation regarding protection from exposure to electromagnetic field,0.020277083,0.020277083
1,Five years ago a pan-European multilingual  platform called Presseurop was created with the aim of providing information about Europe translated into 10 languages taken from news items published in major European and international newspapers. The Commission supported this interesting project providing resources and signing a five-year contract with the successful tenderer. This contract expires on 20 December 2013 and Presseurop will be forced to close because the Commission appears to have chosen to assign these resources to other initiatives. As far as I have been able to ascertain the Commission cancelled at the last minute a tender to continue with projects like the one now ending despite Parliament having approved funds to finance such projects this year. I fear that such a change of course may undermine the idea of European citizenship to which we all aspire especially now when the  European elections are so close at hand and encouraging citizen involvement is one of their main objectives as seen in the Action. Reaction. Decision campaign launched by Parliament. Does it make sense for Parliament to launch a campaign like Action. Reaction. Decision to encourage participation in the  European elections while the Commission is withdrawing its financial support for projects like Presseurop Does the Commission intend to announce any other tender procedure to undertake projects that promote the consolidation of European citizenship,E-014338-13,0,Five year ago a panEuropean multilingual platform called Presseurop wa created with the aim of providing information about Europe translated into language taken from news item published in major European and international newspaper The Commission supported this interesting project providing resource and signing a fiveyear contract with the successful tenderer This contract expires on December and Presseurop will be forced to close because the Commission appears to have chosen to assign these resource to other initiative As far a I have been able to ascertain the Commission cancelled at the last minute a tender to continue with project like the one now ending despite Parliament having approved fund to finance such project this year I fear that such a change of course may undermine the idea of European citizenship to which we all aspire especially now when the European election are so close at hand and encouraging citizen involvement is one of their main objective a seen in the Action Reaction Decision campaign launched by Parliament Does it make sense for Parliament to launch a campaign like Action Reaction Decision to encourage participation in the European election while the Commission is withdrawing it financial support for project like Presseurop Does the Commission intend to announce any other tender procedure to undertake project that promote the consolidation of European citizenship,-0.2475702,-0.2475702
2,According to critical media reports the planned amendments in the area of air passenger rights significantly reduce the current level of protection for passengers. According to the Commissions proposal passengers would have the right to apply  only in the event of a longer delay than is currently the case. This would mean that a passenger would have to wait five hours before he or she was even entitled to  Moreover other entitlements such  payments in the event of overbooking or cancellation of a flight which are regulated in the current Regulation from 2004 are no longer provided for in the revised version. 1. What is the Commissions position with regard to these criticisms 2. Delays ought to fall within the airlines sphere of risk not in that of the passengers as it is surely least reasonable to expect passengers to anticipate any potential problems technology weather conditions strikes etc. that could affect the flight time. How does the Commission justify the fact that passengers will now have to put up with delays of up to five hours without  3. Cancellations and overbooked flights also fall within the sphere of risk of the airlines. How can passengers simply accept these losses without ,E-012228-13,0,According to critical medium report the planned amendment in the area of air passenger right significantly reduce the current level of protection for passenger According to the Commissions proposal passenger would have the right to apply only in the event of a longer delay than is currently the case This would mean that a passenger would have to wait five hour before he or she wa even entitled to Moreover other entitlement such payment in the event of overbooking or cancellation of a flight which are regulated in the current Regulation from are no longer provided for in the revised version What is the Commissions position with regard to these criticism Delays ought to fall within the airline sphere of risk not in that of the passenger a it is surely least reasonable to expect passenger to anticipate any potential problem technology weather condition strike etc that could affect the flight time How doe the Commission justify the fact that passenger will now have to put up with delay of up to five hour without Cancellations and overbooked flight also fall within the sphere of risk of the airline How can passenger simply accept these loss without,-0.22972511,-0.22972511
3,British MPs have revealed that GBP 9 million of nearly GBP 53 million British aid that was sent to the victims of last years Asian tsunami was sitting unspent in bank accounts 16 months after the disaster. Could the Commission confirm whether any of the tsunami aid provided by the European Union has remained unspent Could the Commission seek audited accounts from aid agencies and the UN to demonstrate that the money has been used to help millions of people affected by the disaster and publish those accounts on the Commissions website to ensure transparency and accountability,E-5289/06,0,British MPs have revealed that GBP million of nearly GBP million British aid that wa sent to the victim of last year Asian tsunami wa sitting unspent in bank account month after the disaster Could the Commission confirm whether any of the tsunami aid provided by the European Union ha remained unspent Could the Commission seek audited account from aid agency and the UN to demonstrate that the money ha been used to help million of people affected by the disaster and publish those account on the Commissions website to ensure transparency and accountability,0.31654638,0.31654638
4,A new form of funding for EU agencies is currently under discussion. The proposal is that in future the agencies for example the Agency for the Cooperation of Energy Regulators ACER should be able to charge fees for providing certain services. This approach would shift the funding burden from the EU budget to national budgets. This prompts the following questions 1. How will the Commission work with the agencies to set appropriate prices for the services in question 2. On what legal basis can EU agencies charge fees 3. Are there plans to apply this model to other agencies as well,E-000781-18,0,A new form of funding for EU agency is currently under discussion The proposal is that in future the agency for example the Agency for the Cooperation of Energy Regulators ACER should be able to charge fee for providing certain service This approach would shift the funding burden from the EU budget to national budget This prompt the following question How will the Commission work with the agency to set appropriate price for the service in question On what legal basis can EU agency charge fee Are there plan to apply this model to other agency a well,-0.21179724,-0.34736237
5,What further steps is the Commission proposing to take to get rid of the evil Robert Mugabe,E-7033/08,0,What further step is the Commission proposing to take to get rid of the evil Robert Mugabe,0.1427577,0.1427577
6,The Union of Office Commerce and Services Workers CESP has accused El Corte InglÊ©s a department store chain in Portugal of forcing employees to accept constant changes to their schedule of working hours and rest periods often with as little as one days notice and of failing  with the mandatory rest period of 11 hours between daily shifts. The Union has accordingly been calling for measures to resolve the problems of shift rotation with a view to ending repeated six-day working cycles a practice being followed by El Corte InglÊ©s which is obviously a serious infringement of workers rights including their right to work/life balance and in respect of health and safety at work. At the same time these are rights that the EU is claiming to uphold for example in its Strategic Framework on Health and Safety at Work 2014-2020. In view of this 1. Is the Commission aware of similar practices by  in other EU Member States 2. Has  received EU funding or assistance in Portugal or elsewhere,E-014969-15,0,The Union of Office Commerce and Services Workers CESP ha accused El Corte Ingl Ê s a department store chain in Portugal of forcing employee to accept constant change to their schedule of working hour and rest period often with a little a one day notice and of failing with the mandatory rest period of hour between daily shift The Union ha accordingly been calling for measure to resolve the problem of shift rotation with a view to ending repeated sixday working cycle a practice being followed by El Corte Ingl Ê s which is obviously a serious infringement of worker right including their right to worklife balance and in respect of health and safety at work At the same time these are right that the EU is claiming to uphold for example in it Strategic Framework on Health and Safety at Work In view of this Is the Commission aware of similar practice by in other EU Member States Has received EU funding or assistance in Portugal or elsewhere,-0.4050291,-0.4050291
7,As a full member of the EU the Czech Republic is able to draw financial resources from the EUs Structural Funds. Projects to be financed by means of such resources should primarily be concerned with infrastructure development education and so on. In this connection would the Commission answer the following questions How many Structural Fund-financed projects - and of what type - have so far been submitted by the Czech Republic Has the Czech Republic submitted a sufficient number of projects to use up all the financial resources to which it is entitled Have those projects been submitted properly and in good time,E-1971/04,0,As a full member of the EU the Czech Republic is able to draw financial resource from the EUs Structural Funds Projects to be financed by mean of such resource should primarily be concerned with infrastructure development education and so on In this connection would the Commission answer the following question How many Structural Fundfinanced project and of what type have so far been submitted by the Czech Republic Has the Czech Republic submitted a sufficient number of project to use up all the financial resource to which it is entitled Have those project been submitted properly and in good time,-0.2756715,-0.2756715
8,In its reply of 25 June 2002 to Question P1645/021 the Commission said it would investigate the matter of  of the interventions of the Valle dAosta region Italy in favour of the Casino with the principle of private investment as understood in a market economy and that it would ask the Italian authorities to supply details of those interventions. However no news has yet been received from the Commission concerning the promised inquiry. Can the Commission state 1. whether it has carried out any inquiry 2. whether the Italian authorities have supplied the requisite details,E-4340/06,0,In it reply of June to Question P the Commission said it would investigate the matter of of the intervention of the Valle dAosta region Italy in favour of the Casino with the principle of private investment a understood in a market economy and that it would ask the Italian authority to supply detail of those intervention However no news ha yet been received from the Commission concerning the promised inquiry Can the Commission state whether it ha carried out any inquiry whether the Italian authority have supplied the requisite detail,-0.46880096,-0.46880096
9,With reference to your reply to Question E4889/2010 1. Will the Commission confirm that Europol will be permitted to act in respect of crimes that exist in one Member State but are not crimes in another Member State 2. Will it also confirm that it might participate in assisting an extradition from one Member State where a crime is not recognised to another where a crime is recognised Such a crime might be feasible for example were it to occur over the Internet or via a website and  a thought-crime appertaining to xenophobia or racism. 3. Why is Europol to be provided with the ability to keep data on a persons political opinions religious or philosophical beliefs or trades union membership and data relating to their health and sex life,E-001380/2011,0,With reference to your reply to Question E Will the Commission confirm that Europol will be permitted to act in respect of crime that exist in one Member State but are not crime in another Member State Will it also confirm that it might participate in assisting an extradition from one Member State where a crime is not recognised to another where a crime is recognised Such a crime might be feasible for example were it to occur over the Internet or via a website and a thoughtcrime appertaining to xenophobia or racism Why is Europol to be provided with the ability to keep data on a person political opinion religious or philosophical belief or trade union membership and data relating to their health and sex life,-0.35387012,-0.35387012
